word,num,x,y,z
祈願,25,0.0240500886,2.698017376,-3.651326547
退散,25,0.2043665032,-0.2131709855,-1.897478674
主張,24,-8.462096515,1.297903401,-11.36728724
こ,24,2.450044372,-4.20087243,-0.5721531476
確定,24,-9.635077587,3.258455764,-4.413364659
ポイント,24,-5.967316964,-2.338571587,4.548486669
削減,24,-9.974585394,6.424174269,1.246065683
表明,24,-6.171929464,5.925050401,-9.563169864
通信,24,-2.916185894,5.004078597,4.002707759
記念,24,7.201471,7.000450052,-0.9204549381
一環,24,2.372302889,3.961072533,2.486176743
共同,24,2.669186946,5.017287049,0.9128625246
オープン,24,0.6480632398,6.445452536,0.4254569109
死滅,24,-4.508911544,0.06127468034,-1.309741141
男,24,12.33451358,-5.59731542,-6.304675304
行事,24,0.4161584838,2.066633711,-0.5010255518
キャスト,24,0.9832935974,-2.40531284,-1.29575065
ドラマ,24,5.891598948,-4.90891376,-1.472623231
スタート,24,-4.046888859,2.546959688,-1.967893519
レベル,24,-7.449011201,-4.573652571,2.578289399
世代,24,-3.351326758,-3.313136635,-0.1845584541
特定,24,-8.312198006,1.490932499,2.316857078
恐怖,24,1.207895067,-6.43592739,-5.828209728
湖水,24,1.577169043,1.108101003,2.736069101
ロック,23,-2.710025597,-5.223016341,-1.268176482
快適,23,-1.739563394,-0.7079562816,1.716432957
電車,23,2.387348793,4.650362445,10.47637258
院,23,9.97620724,7.372641211,-2.266603928
作品,23,1.371092167,-8.349354856,-3.108506315
工場,23,3.852072057,8.604752392,9.441287817
生徒,23,-0.7946913002,-2.640200983,-3.411748949
改善,23,-11.42037792,4.397934704,1.285176544
供給,23,-11.84586516,6.867350631,3.394238149
事,23,-3.867515732,-6.577454536,-5.203908931
脳,23,-1.855087616,-5.301377096,-1.486127804
ハンカチ,23,1.953437476,-2.240287734,0.02669493722
訪問,23,-1.390805276,8.730215393,-9.262723361
公園,23,10.62884399,10.17910547,8.04489569
文字,23,-2.212012839,-5.341478871,4.814125145
麒麟,23,5.564642354,-0.7344268113,0.5107232598
動物,22,0.5368605728,-5.279582193,2.259498912
停止,22,-10.01782001,4.395862791,1.222947059
地球,22,-3.423355396,-4.7283884,-0.1461620716
件,22,-6.090240202,-3.627708402,0.3708367045
加速,22,-9.197264094,-0.6167755819,3.583695508
酸,22,-4.335935005,-5.618269987,4.796011472
施術,22,-1.942788803,0.107698312,-0.7419902909
先,22,3.727057478,-1.681589524,2.533857506
ケース,22,-6.428603776,-3.835328067,2.478681468
死因,22,-0.3231555944,-3.151186442,-2.318415513
主催,22,-1.518673823,7.961858768,-4.760700275
美容,22,1.7007607,-0.8798072939,0.5282241756
ラジオ,22,5.282984945,1.667807474,0.5760597214
野菜,22,0.9429696,-3.4694181,4.295989955
脅威,22,-4.773331432,-2.83036271,-3.615713418
受診,22,-2.535213203,1.065873564,-1.691985013
解析,22,-8.038032836,-1.70124267,1.981517962
業種,22,-2.625773178,1.571746473,2.311361829
請求,21,-7.530489358,4.668749497,-4.731165788
ステロイド,21,-1.507717531,-3.106477333,1.927868379
展開,21,-8.634119183,2.97777779,-3.054066513
能力,21,-8.700034323,-8.902083779,1.534458288
キャンペーン,21,-0.4024442571,0.5159733982,-0.546783823
体,21,-7.303200627,-5.042919569,5.287952713
追加,21,-9.538491537,1.94432056,3.757109361
期限,21,-1.491304953,2.793467987,1.944599871
支給,21,-8.498847058,5.903412319,-3.682884491
物資,21,-4.402674764,2.913564966,3.223093481
南,21,13.34180246,8.921539691,4.731453157
頭,21,3.894758058,-3.938309844,0.2859510487
北,21,12.2727692,9.769791829,2.987384414
基準,21,-7.02395709,1.399359743,4.887956689
年,21,7.736145462,7.538132199,-0.2353224634
成長,21,-7.479849757,-1.5220668,-4.288598325
官邸,21,0.82429655,3.212132495,-1.001587387
批判,21,-7.060851241,-0.7963197575,-12.23028665
中傷,21,-2.398677218,-2.362451228,-5.252686205
浴場,21,4.125646325,4.124822461,4.325257826
テレワーク,21,1.298903662,0.7491811,0.3124159998
無職,21,1.772611446,0.04852177113,-0.9223800954
抗議,21,-4.091302652,2.6751169,-10.12641007
派遣,21,-4.432879799,13.6823016,-9.672294812
接近,21,-6.473039215,1.841129696,-1.731859699
保有,21,-10.29917659,10.59951636,-1.08599218
球場,20,5.246858741,4.540897994,3.545897938
家電,20,-0.2241026628,0.3029159123,5.851940046
特例,20,-4.102464542,5.504591721,0.4948379914
事故,20,-2.6190553,-0.3473918585,2.343856767
サークル,20,0.5334674186,-0.07363029652,0.03877952047
